name	color	hallmark	disease
HSPA13	UV_RESPONSE_UP	UV_RESPONSE_UP	Down_Syndrome Chromosome_21_monosomy Trisomy Prion_Diseases
PPP1CB			Malignant_neoplasm_of_prostate NOONAN-LIKE/MULTIPLE_GIANT_CELL_LESION_SYNDROME_(disorder) Prostate_carcinoma
SLC6A15			Abnormal_behavior Mental_Depression Depressive_disorder Major_Depressive_Disorder Unipolar_Depression Cognition_Disorders Asthma Mental_disorders Eczema Impaired_cognition Obesity
DRG1			Squamous_cell_carcinoma Metastatic_Prostate_Carcinoma Malignant_neoplasm_of_colon_stage_IV Breast_Carcinoma Bladder_Neoplasm Malignant_neoplasm_of_breast Squamous_cell_carcinoma_of_esophagus Prostatic_Intraepithelial_Neoplasias Secondary_malignant_neoplasm_of_liver Prostate_carcinoma ADENOMAS_AND_ADENOCARCINOMAS Prostatic_Neoplasms melanoma Malignant_neoplasm_of_lung Malignant_neoplasm_of_prostate Malignant_tumor_of_colon Primary_malignant_neoplasm_of_lung Metastasis_from_malignant_tumor_of_prostate Colon_Carcinoma Carcinoma_of_lung Tumor_Progression Tumor_Angiogenesis Neoplasm_Metastasis
VCP			Frontotemporal_dementia melanoma Chronic_Obstructive_Airway_Disease Primary_Progressive_Aphasia_(disorder) nervous_system_disorder Squamous_cell_carcinoma_of_oropharynx Amyloidosis INCLUSION_BODY_MYOPATHY_WITH_EARLY-ONSET_PAGET_DISEASE_AND_FRONTOTEMPORAL_DEMENTIA Machado-Joseph_Disease Peripheral_motor_neuropathy Prostate_carcinoma Recurrent_tumor Ventricular_dilatation_(disorder) Secondary_malignant_neoplasm_of_lymph_node Spastic_Paraplegia,_Hereditary Liver_carcinoma Cachexia idiopathic_epilepsy Parkinsonian_Disorders Learning_Disabilities Inclusion_Body_Myopathy,_Autosomal_Recessive X-Linked_Emery-Dreifuss_Muscular_Dystrophy Herpes_Simplex_Infections Osteosarcoma_of_bone Progressive_Muscular_Atrophy cervical_cancer Alzheimer_Disease,_Late_Onset Retinitis_Pigmentosa Dropped_head_syndrome Familial_lichen_amyloidosis Colorectal_Carcinoma Myopathy Amyotrophic_Lateral_Sclerosis,_Sporadic Malignant_tumor_of_cervix Cervical_Intraepithelial_Neoplasia Adult_T-Cell_Lymphoma/Leukemia Inclusion_body_myopathy,_autosomal_dominant FRONTOTEMPORAL_LOBAR_DEGENERATION_WITH_TDP43_INCLUSIONS,_GRN-RELATED Pneumonia Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma Adenocarcinoma_of_lung_(disorder) Non-Small_Cell_Lung_Carcinoma Bronchogenic_Carcinoma Mammary_Neoplasms Neurodegenerative_Disorders Pulmonary_Emphysema Mitochondrial_abnormalities Developmental_Disabilities Malignant_Testicular_Germ_Cell_Tumor Hereditary_Motor_and_Sensory-Neuropathy_Type_II Vacuolar_myopathy Nervous_system--Degeneration Muscle_Weakness Presenile_dementia Cognition_Disorders Acute_lymphocytic_leukemia Breast_Carcinoma Paget_Disease Proximal_myopathy Ovarian_Carcinoma Neurofibromatosis_1 Stomach_Carcinoma Semantic_Dementia Distal_Muscular_Dystrophies Charcot-Marie-Tooth_Disease Bone_Diseases Squamous_cell_carcinoma Amyotrophic_Lateral_Sclerosis Neoplasm_Metastasis Carcinogenesis Colorectal_Cancer Epithelial_ovarian_cancer Pick_Disease_of_the_Brain Embryonal_Carcinoma Inclusion_Body_Myositis_(disorder) Malignant_neoplasm_of_breast Esophageal_carcinoma Vesicular_Stomatitis Motor_neuron_atrophy Cervix_carcinoma Epilepsy Cardiomyopathies Dementia Protein_Deficiency Frontotemporal_Lobar_Degeneration Squamous_cell_carcinoma_of_esophagus Pancreatic_carcinoma Osteitis_Deformans Malignant_neoplasm_of_testis Alzheimer's_Disease Secondary_malignant_neoplasm_of_lung Nasopharyngeal_carcinoma Impaired_cognition GRN-related_frontotemporal_dementia TDP-43_Proteinopathies Parkinson_Disease Ovarian_Granulosa_Cell_Tumor Neuromuscular_Diseases Degenerative_disorder Osteosarcoma NONAKA_MYOPATHY Paresis Malignant_neoplasm_of_prostate Gastrointestinal_Carcinoid_Tumor Malignant_neoplasm_of_pancreas Motor_Neuron_Disease
ENPP5			
ACADM		ADIPOGENESIS FATTY_ACID_METABOLISM OXIDATIVE_PHOSPHORYLATION	Vomiting Indolent_Systemic_Mastocytosis Hypoglycemia Anaphylaxis_(non_medication) Medium-chain_acyl-coenzyme_A_dehydrogenase_deficiency Sudden_infant_death_syndrome
COQ3	ADIPOGENESIS	ADIPOGENESIS	
PDHX	OXIDATIVE_PHOSPHORYLATION	OXIDATIVE_PHOSPHORYLATION	Primary_biliary_cirrhosis Malignant_neoplasm_of_pancreas Severe_Combined_Immunodeficiency Maturity_onset_diabetes_mellitus_in_young Pancreatitis,_Chronic Nesidioblastosis Lupus_Erythematosus,_Systemic Diabetes_Mellitus,_Non-Insulin-Dependent Hyperglycemia Diabetes Carcinogenesis Pancreatic_Neoplasm Encephalopathies Agenesis Pancreatic_carcinoma Adenocarcinoma_of_large_intestine Malignant_neoplasm_of_kidney Patent_ductus_arteriosus Overweight_or_obesity Diabetes_Mellitus B-Cell_Lymphomas Pancreatic_intraepithelial_neoplasia Acidosis,_Lactic Pancreatic_Ductal_Adenocarcinoma insulinoma Neoplasm_Metastasis Congenital_lactic_acidosis Leigh_Disease Brain_Diseases Epithelial_ovarian_cancer Global_developmental_delay Intraepithelial_Neoplasia MATURITY-ONSET_DIABETES_OF_THE_YOUNG,_TYPE_IV_(disorder) Pyruvate_Dehydrogenase_Complex_Deficiency_Disease Adenocarcinoma_of_pancreas Colorectal_Carcinoma Colorectal_Neoplasms Developmental_delay_(disorder) Colorectal_Cancer
ECHDC2			
ARF6	MITOTIC_SPINDLE	MITOTIC_SPINDLE	Colorectal_Cancer Seizures Epilepsy,_Myoclonic,_Infantile Malignant_neoplasm_of_pancreas Triple_Negative_Breast_Neoplasms Squamous_cell_carcinoma_of_tongue Salmonella_infections Squamous_cell_carcinoma_of_the_head_and_neck Liver_carcinoma Mammary_Neoplasms Neoplasm_Metastasis melanoma Congenital_Abnormality Hyperactive_behavior Primary_malignant_neoplasm Invasive_carcinoma_of_breast Malignant_neoplasm_of_breast Neoplasms Malignant_Head_and_Neck_Neoplasm Secondary_malignant_neoplasm_of_lung Cyst Metastatic_Neoplasm Head_and_Neck_Carcinoma Malignant_Neoplasms Pancreatic_carcinoma Breast_Carcinoma Niemann-Pick_Disease,_Type_C Vesicular_Stomatitis Biliary_Atresia Nasopharyngeal_carcinoma Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Liver_neoplasms Malignant_neoplasm_of_liver
KCNJ13			Cataract Ischemic_stroke Cerebral_Ischemia Leber_Congenital_Amaurosis LEBER_CONGENITAL_AMAUROSIS_16 Vitreoretinal_degeneration Familial_(FPAH) Snowflake_vitreoretinal_degeneration Photoreceptor_degeneration Vitreous_degeneration Amaurosis_congenita_of_Leber,_type_1 Cerebral_Infarction
MT-CYB			
CCT8			Liver_carcinoma
SULT2A1			Adrenal_hyperplasia Dermatologic_disorders edema_disease Stickler_syndrome,_type_1 Congenital_adrenal_hyperplasia Prolactinoma Hyperandrogenism Disease_due_to_Papilloma_virus Endometrial_Carcinoma Prostate_carcinoma Adrenal_hypertrophy_or_hyperplasia Intestinal_carcinoma Cholestasis Diarrhea Breast_Carcinoma Alzheimer's_Disease Malignant_neoplasm_of_stomach Primary_biliary_cirrhosis Stomach_Carcinoma Papilloma Glioma Mammary_Neoplasms Bipolar_Disorder Well_Differentiated_Oligodendroglioma Gonorrhea oligodendroglioma Bacterial_Vaginosis Spondyloepiphyseal_dysplasia,_congenita Human_papilloma_virus_infection Genital_ulcers Condylomata_Acuminata Stickler_syndrome_(disorder) Paranoid_ideation Adenoma Spondyloepiphyseal_Dysplasia Bladder_Neoplasm Manic Malignant_neoplasm_of_prostate Primary_sclerosing_cholangitis Polycystic_Ovary_Syndrome Liver_carcinoma Kniest_dysplasia Rheumatoid_Arthritis Liver_diseases Astrocytoma Pituitary_Adenoma Malignant_neoplasm_of_breast
DNAJB4	TNFA_SIGNALING_VIA_NFKB	TNFA_SIGNALING_VIA_NFKB	Malignant_neoplasm_of_lung Primary_malignant_neoplasm_of_lung Liver_carcinoma Hepatitis_B Rheumatoid_Arthritis Carcinoma_of_lung Non-Small_Cell_Lung_Carcinoma Stomach_Carcinoma Tumor_Progression Neoplasm_Metastasis Malignant_neoplasm_of_breast Hereditary_Diffuse_Gastric_Cancer Carcinogenesis Malignant_neoplasm_of_stomach Adenocarcinoma_of_lung_(disorder) Breast_Carcinoma
EEF2	UNFOLDED_PROTEIN_RESPONSE	UNFOLDED_PROTEIN_RESPONSE	Childhood_Neuroblastoma Myocardial_Ischemia Dystrophia_myotonica_2 Coronary_Arteriosclerosis Diffuse_Intrinsic_Pontine_Glioma Glioblastoma melanoma Central_neuroblastoma Chikungunya_Fever Diphtheria Alzheimer's_Disease Colorectal_Cancer Malignant_neoplasm_of_prostate Lymphoma,_Non-Hodgkin Lymphoma Neuroblastoma
ARF3			Germ_cell_tumor Malignant_neoplasm_of_breast Breast_Carcinoma Tonsillitis Gastrointestinal_Carcinoid_Tumor Neoplasm_Metastasis Tuberous_Sclerosis Central_neuroblastoma Leukemogenesis Neuroblastoma MIXED_LINEAGE_LEUKEMIA Myotonic_Dystrophy melanoma Acute_glomerulonephritis
HSD17B7		CHOLESTEROL_HOMEOSTASIS FATTY_ACID_METABOLISM	Neoplasms Androgen-Insensitivity_Syndrome Primary_malignant_neoplasm Malignant_neoplasm_of_breast Adenoma Pheochromocytoma Hyperandrogenism Alzheimer's_Disease Colon_Carcinoma Malignant_neoplasm_of_ovary cervical_cancer Epithelial_ovarian_cancer Ovarian_Carcinoma Adrenal_Cortical_Adenoma Diabetes_Mellitus Gender_Dysphoria Male_Pseudohermaphroditism Malignant_Neoplasms Uterine_Fibroids Breast_Carcinoma Malignant_neoplasm_of_prostate Immunologic_Deficiency_Syndromes Polycystic_Ovary_Syndrome Epithelioma Amyloidosis 46,_XY_Disorders_of_Sex_Development Colorectal_Carcinoma Hereditary_Breast_and_Ovarian_Cancer_Syndrome Ductal_Breast_Carcinoma Mammary_Neoplasms Pituitary_Adenoma Zellweger_Syndrome Invasive_carcinoma_of_breast Malignant_tumor_of_cervix Ductal_Carcinoma Thymoma Adenocarcinoma_of_colon Uterine_Corpus_Cancer pseudohermaphrodite_(non-specific) Neoplasm_Metastasis Parkinson_Disease Thyroid_Diseases Endometriosis Malignant_tumor_of_colon Endometrial_Hyperplasia Prostate_carcinoma Invasive_Ductal_Breast_Carcinoma Malignant_neoplasm_of_endometrium Hypospadias Young_onset_Parkinson_disease Benign_Prostatic_Hyperplasia Endometrial_Carcinoma leukemia Choriocarcinoma Diabetes Prolactinoma Precocious_pubarche Noninfiltrating_Intraductal_Carcinoma Cervix_carcinoma Penile_hypospadias Sporadic_Breast_Carcinoma Endometrial_Endometrioid_Adenocarcinoma Colorectal_Cancer
RPL3L	ALLOGRAFT_REJECTION	ALLOGRAFT_REJECTION	
MMP3		EPITHELIAL_MESENCHYMAL_TRANSITION COAGULATION	Superficial_ulcer Malignant_Head_and_Neck_Neoplasm Hyperplastic_tooth_follicle Refractory_anemias Heart_failure Porphyria_Cutanea_Tarda Acute_periodontitis Coronary_Thrombosis Tuberculosis Endometrial_Carcinoma Cutis_Laxa Mammary_Neoplasms Schizophrenia Colorectal_Carcinoma pathologic_fistula Carotid_Atherosclerosis Coronary_Artery_Disease cervical_cancer Polyarthritis Alzheimer's_Disease Nephritis Multiple_malignancy Rheumatoid_Arthritis Non-ST_Elevated_Myocardial_Infarction Ataxia_Telangiectasia Presenile_dementia Malignant_neoplasm_of_breast Carotid_Stenosis Septicemia Cerebrovascular_accident Medullary_carcinoma Coronary_heart_disease Skin_Erosion Malignant_neoplasm_of_urinary_bladder Colorectal_Neoplasms Glaucoma Periodontal_Diseases Aneurysm Regurgitation Liver_neoplasms Tendinosis Pancreatic_carcinoma Breast_Carcinoma Intervertebral_Disc_Degeneration cardiac_event Obesity Primary_malignant_neoplasm_of_lung Precancerous_Conditions Pneumonia Necrotizing_enterocolitis_in_fetus_OR_newborn Familial_multiple_trichoepitheliomata Restenosis Congenital_arteriovenous_malformation Varicosity Chronic_Periodontitis Dermatitis_Herpetiformis Bone_Diseases Intracranial_Hemorrhages Non-Small_Cell_Lung_Carcinoma Pregnancy_Complications Experimental_Organism_Basal_Cell_Carcinoma Cirrhosis Gastritis Disorder_of_tendon Crohn_Disease Metastatic_malignant_neoplasm_to_brain Invasive_Carcinoma Coronary_Arteriosclerosis Ulcer Chronic_Obstructive_Airway_Disease Abnormal_behavior Scleroderma Chronic_Kidney_Diseases melanoma Atherosclerosis Myocardial_Infarction Hyperlipoproteinemia_Type_IIa Neoplasm_Metastasis Inflammatory_Bowel_Diseases Amyloidosis Tumor_Initiation Severe_myopia Moyamoya_Disease Polyradiculoneuropathy,_Chronic_Inflammatory_Demyelinating Hepatitis_B,_Chronic Carcinogenesis Sepsis Malignant_tumor_of_cervix Malignant_neoplasm_of_prostate Ulcerative_Colitis carotid_disease Malignant_neoplasm_of_endometrium Celiac_Disease Gastroesophageal_reflux_disease Acute_myocardial_infarction Diabetes_Mellitus,_Non-Insulin-Dependent Diabetic_Nephropathy Fibroid_Tumor Aortic_aneurysm_without_mention_of_rupture_NOS Bacterial_Infections Glioma Hemangioma_of_retina Pterygium Bullous_pemphigoid Primary_sclerosing_cholangitis Prostate_carcinoma Diabetes_Mellitus Collagenous_Sprue Cicatrix,_Hypertrophic Periapical_Diseases Hemangioblastoma Diabetes_Mellitus,_Insulin-Dependent Periodontitis Arteriovenous_fistula Gastrointestinal_ulcer Duodenal_Ulcer Hemochromatosis MIXED_LINEAGE_LEUKEMIA Malignant_neoplasm_of_lung Marinesco-Sjogren_syndrome Cerebrovascular_Disorders Diabetes Retinoblastoma Parkinson_Disease Lymphatic_Metastasis Malignant_neoplasm_of_stomach Liver_carcinoma Malignant_neoplasm_of_ovary Uterine_Corpus_Cancer Aortic_Aneurysm,_Abdominal Idiopathic_Pulmonary_Fibrosis Superior_limbic_keratoconjunctivitis Nasopharyngeal_carcinoma Coronary_Stenosis Hypertensive_disease Periodontitis,_Juvenile Endometrioma Bacterial_sepsis Meningitis,_Bacterial Chlamydia_Infections Cyclical_vomiting_syndrome_(disorder) Osteoarthritis,_Knee Pulmonary_Fibrosis Hepatitis,_Chronic Respiratory_Syncytial_Virus_Infections Degenerative_polyarthritis Ischemic_cardiomyopathy Hepatitis_B Ankylosing_spondylitis Aortic_root_dilation Rotator_cuff_syndrome Arthralgia Carcinoma_of_larynx Squamous_cell_carcinoma Mental_disorders Adenoma_of_large_intestine Corneal_pannus Lymphoma,_Non-Hodgkin Synovitis Corneal_melt Colorectal_Cancer Adenocarcinoma_Of_Esophagus Dementia Stomach_Carcinoma Acute_Coronary_Syndrome Disorder_of_Achilles_tendon Coronary_Aneurysm Brain_Diseases Lumbar_disc_disease Gingival_Diseases Cervix_carcinoma Coronary_Restenosis Aortic_Aneurysm Glioblastoma Alport_Syndrome Malignant_tumor_of_colon Neoplasms Infection_caused_by_Helicobacter_pylori Arthritis Von_Hippel-Lindau_Syndrome Cleft_palate_with_cleft_lip Cerebellar_Ataxia Subarachnoid_Hemorrhage Malignant_neoplasm_of_large_intestine Ovarian_Carcinoma Bipolar_Disorder Carcinoma_of_lung Mitral_Valve_Prolapse_Syndrome Hypercholesterolemia,_Familial Cholangiocarcinoma Conjunctivochalasis Diabetic_Retinopathy Renal_Insufficiency Heart_Diseases Metastatic_melanoma Uterine_Fibroids Congestive_heart_failure Refractive_Errors Malignant_neoplasm_of_gastrointestinal_tract Ischemic_stroke Systemic_Scleroderma Actinic_keratosis Adenocarcinoma Secondary_malignant_neoplasm_of_lung Astrocytoma Myopia Giant_Cell_Arteritis Coronary_Artery_Vasospasm Liver_Cirrhosis Moyamoya_disease_1 Hyperuricemia Nodule Mucocutaneous_Lymph_Node_Syndrome Squamous_cell_carcinoma_of_esophagus Juvenile_arthritis Splenic_Hypoplasia Migraine_Disorders Oral_Submucous_Fibrosis Carcinoma_of_bladder Tetralogy_of_Fallot Aneurysmal_disease Cerebral_Cavernous_Malformations_1 Malignant_neoplasm_of_larynx Keloid Arthritis,_Psoriatic Squamous_cell_carcinoma_of_the_head_and_neck Colon_Carcinoma Malignant_neoplasm_of_pancreas Sjogren's_Syndrome Pain Complete_atrioventricular_block Henoch-Schoenlein_Purpura Renal_Cell_Carcinoma Endometriosis Tumor_Progression Bladder_Neoplasm Chronic_liver_disease Basal_Cell_Nevus_Syndrome Hallopeau-Siemens_Disease Metastatic_Neoplasm Tendinopathy Adenocarcinoma_of_prostate Preterm_Premature_Rupture_of_Fetal_Membranes Arteriosclerosis Multiple_Sclerosis Arteriovenous_hemangioma Malignant_Glioma Peripheral_arterial_occlusive_disease
ENSG00000268083			
SLC5A6	ADIPOGENESIS	ADIPOGENESIS	Malignant_neoplasm_of_prostate Breast_Carcinoma Malignant_neoplasm_of_breast Precursor_cell_lymphoblastic_lymphoma Prostate_carcinoma Choriocarcinoma PACHYONYCHIA_CONGENITA_3
ALDH8A1	BILE_ACID_METABOLISM	BILE_ACID_METABOLISM	
CRYBA1			Neurofibromatosis_1 Embryonal_nuclear_cataract_(disorder) Bilateral_cataracts_(disorder) Cataract Acute_Promyelocytic_Leukemia Congenital_cataract
TM7SF2		CHOLESTEROL_HOMEOSTASIS MTORC1_SIGNALING	Papilloma Liver_neoplasms Diabetes_Mellitus,_Insulin-Dependent Breast_Carcinoma Breast_Cancer,_Familial Cholera Atherosclerosis Astrocytoma Parasitemia Macrophage_Activation_Syndrome Intracranial_Aneurysm Meconium_Aspiration_Syndrome Hypertensive_disease Nephritis Autonomic_nervous_system_disorders Metabolic_Diseases Kidney_Diseases Nephritis,_Tubulointerstitial Glioblastoma_Multiforme Astrocytoma,_low_grade Liver_diseases Neoplasm_Metastasis Malignant_neoplasm_of_ovary Malignant_neoplasm_of_pancreas Diabetes Primary_malignant_neoplasm_of_lung Stomach_Carcinoma Colorectal_cancer_metastatic Mammary_Neoplasms Ischemic_cardiomyopathy Anaphylaxis_(non_medication) Renal_Cell_Carcinoma Carcinogenesis Malignant_neoplasm_of_stomach Carcinoma_of_lung McCune-Albright_Syndrome BESTROPHINOPATHY,_AUTOSOMAL_RECESSIVE Skin_Carcinogenesis Fibrosis,_Liver Fatty_Liver Liver_Cirrhosis Diabetic_Retinopathy Aneurysm Cardiomyopathy,_Familial_Idiopathic Malignant_tumor_of_colon Epiretinal_Membrane Myocardial_Infarction Secondary_malignant_neoplasm_of_bone Erectile_dysfunction Lung_Neoplasms Malignant_neoplasm_of_breast PACHYONYCHIA_CONGENITA_3 Rheumatoid_Arthritis Congenital_diaphragmatic_hernia Glioblastoma Arthritis Sarcoma Malaria Colon_Carcinoma Retinal_Diseases Uveitis Acute_myocardial_infarction Inflammatory_abnormality_of_the_eye tumor_vasculature Nephritis,_Interstitial Cerebral_Infarction Subarachnoid_Hemorrhage Interstitial_lung_fibrosis Cirrhosis Metabolic_Syndrome_X Tumor_Angiogenesis Septicemia Prostate_carcinoma Peripheral_T-Cell_Lymphoma Cardiovascular_Diseases Pancreatic_carcinoma Non-Small_Cell_Lung_Carcinoma Focal_nodular_hyperplasia_of_liver Diabetes_Mellitus Infant,_Premature Ovarian_Carcinoma Middle_Cerebral_Artery_Occlusion Vascular_Diseases Hepatitis_C CATARACT,_MARNER_TYPE Sepsis Chondrosarcoma Chronic_myocardial_ischemia Ataxia_Telangiectasia Malignant_neoplasm_of_lung Idiopathic_pulmonary_arterial_hypertension Arteriosclerosis Muscular_Dystrophy,_Duchenne Cerebral_Ischemia Malignant_neoplasm_of_prostate Congestive_heart_failure Steatohepatitis Heart_failure Liver_carcinoma Cavernous_Hemangioma_of_Brain Malignant_Pleural_Mesothelioma Brain_Neoplasms Lymphatic_Metastasis
SLC16A13			Diabetes_Mellitus,_Non-Insulin-Dependent
ENSG00000249319			
KYNU		TNFA_SIGNALING_VIA_NFKB COMPLEMENT XENOBIOTIC_METABOLISM	Hypertensive_disease Essential_Hypertension Eczema Dermatitis,_Atopic Psoriasis Osteosarcoma Major_Depressive_Disorder Osteosarcoma_of_bone Hydroxykynureninuria
CTSL	COMPLEMENT	COMPLEMENT	Fascioliasis Type_II_Mucolipidosis Malignant_neoplasm_of_mouth Triple_Negative_Breast_Neoplasms Adult_type_dermatomyositis Thyroid_carcinoma Diabetes_Mellitus,_Non-Insulin-Dependent Paroxysmal_kinesigenic_choreoathetosis Tumor_Progression Arteriosclerosis Malignant_neoplasm_of_prostate Cervix_carcinoma Arthritis Chagas_Disease Thyroid_Diseases Mammary_Neoplasms Myeloid_Leukemia,_Chronic Colorectal_Carcinoma Malignant_neoplasm_of_esophagus Osteosarcoma Neoplasm_Metastasis Non-Small_Cell_Lung_Carcinoma Secondary_malignant_neoplasm_of_bone Mesenchymal_Cell_Neoplasm Atresia Malignant_Squamous_Cell_Neoplasm Breast_Carcinoma Early_Inflammatory_Arthritis leukemia Diabetes_Mellitus,_Insulin-Dependent Colorectal_Cancer Precancerous_Conditions Kidney_Diseases Glioblastoma Diabetes_Mellitus Recurrent_tumor Rheumatoid_Arthritis Kidney_Neoplasm Virus_Diseases Obesity Dermatomyositis Fibroid_Tumor Carcinogenesis Neuroblastoma Uterine_Cancer Systemic_Scleroderma Adenocarcinoma Diabetes,_Autoimmune Uterine_Fibroids Brain_Neoplasms Degenerative_polyarthritis Glioma Atherosclerosis Central_neuroblastoma Severe_Acute_Respiratory_Syndrome Adult_Pilocytic_Astrocytoma Diabetes Malignant_neoplasm_of_breast Cardiomyopathy,_Dilated Impaired_glucose_tolerance Esophageal_carcinoma Papillary_thyroid_carcinoma Middle_East_Respiratory_Syndrome Hemorrhagic_Fever,_Ebola Prostate_carcinoma Secondary_malignant_neoplasm_of_lung Carcinoma,_Small_Cell Cleft_palate,_isolated Pilocytic_Astrocytoma Esophageal_Neoplasms Meningioma,_benign,_no_ICD-O_subtype Testicular_Neoplasms Glioblastoma_Multiforme Ovarian_Carcinoma Muscle_damage Vascular_Diseases Carcinoma,_Papillary Aortic_Aneurysm,_Abdominal Malignant_neoplasm_of_ovary Liver_carcinoma Osteosarcoma_of_bone Squamous_cell_carcinoma Lip_and_Oral_Cavity_Carcinoma Lymphoma Colorectal_Neoplasms Meningioma Malignant_tumor_of_cervix Writer's_cramp_neurosis Pancreatitis Gastrointestinal_Stromal_Tumors Metabolic_Diseases Coronary_Stenosis Organic_writer's_cramp melanoma Polycystic_Kidney,_Autosomal_Dominant Cerebral_Palsy cervical_cancer
DPP8			Liver_carcinoma Atherosclerosis Arteriosclerosis Breast_Carcinoma Liver_diseases Meningioma Epithelial_ovarian_cancer Alopecia Primary_biliary_cirrhosis Liver_neoplasms Ovarian_Carcinoma
PPP2CA			Breast_Carcinoma Oestrogen_deficiency androgen_independent_prostate_cancer Pseudohyperkalemia_Cardiff Hepatocarcinogenesis Carcinogenesis Malignant_neoplasm_of_prostate Malignant_neoplasm_of_breast Pancreatic_carcinoma Neoplasm_Metastasis Liver_Cirrhosis Early_infantile_epileptic_encephalopathy_with_suppression_bursts Alzheimer's_Disease Renal_fibrosis Tumor_Progression Opitz_GBBB_Syndrome,_X-Linked Malignant_neoplasm_of_pancreas Hepatitis_B Prostate_carcinoma Lupus_Erythematosus,_Systemic Adenocarcinoma_of_lung_(disorder) Liver_carcinoma Central_neuroblastoma Neuroblastoma Liver_neoplasms
DNAJB9		ADIPOGENESIS ANDROGEN_RESPONSE UNFOLDED_PROTEIN_RESPONSE	
SLC27A2		ESTROGEN_RESPONSE_EARLY ESTROGEN_RESPONSE_LATE BILE_ACID_METABOLISM PEROXISOME	Adrenoleukodystrophy Obesity Malignant_neoplasm_of_lung Breast_Carcinoma Non-alcoholic_Fatty_Liver_Disease Primary_malignant_neoplasm_of_lung Carcinoma_of_lung Overweight Mammary_Neoplasms Malignant_neoplasm_of_breast Diabetes Adrenomyeloneuropathy Diabetes_Mellitus
RUVBL2	MYC_TARGETS_V1	MYC_TARGETS_V1	Liver_carcinoma Prostatic_Neoplasms Malignant_tumor_of_colon leukemia Ischemic_stroke Colon_Carcinoma Immunologic_Deficiency_Syndromes Carcinogenesis Hepatocarcinogenesis Fanconi_Anemia
DNAJA4	UNFOLDED_PROTEIN_RESPONSE	UNFOLDED_PROTEIN_RESPONSE	Carcinogenesis
GOLPH3L			Epithelial_ovarian_cancer Ovarian_Carcinoma
ACSF2			Deep_Vein_Thrombosis Deep_thrombophlebitis
ACAD9			Acidosis,_Lactic Nicotinamide_adenine_dinucleotide_coenzyme_Q_reductase_deficiency Acyl-CoA_Dehydrogenase_Family,_Member_9,_Deficiency_of Nausea Myopathy Hypertrophic_Cardiomyopathy Cardiomyopathies Mitochondrial_Diseases Myxoid_cyst Mitochondrial_Encephalomyopathies Parkinson_Disease
ARF4	COAGULATION	COAGULATION	Neoplasm_Metastasis Glioblastoma Epithelial_ovarian_cancer Cystic_kidney Cystic_Kidney_Diseases Breast_Carcinoma Congenital_cystic_kidney_disease
SLC6A19			Liver_carcinoma Hartnup_Disease Iminoglycinuria Liver_neoplasms Aminoaciduria HYPERGLYCINURIA_(disorder)
RPS13			Stomach_Carcinoma Malignant_neoplasm_of_stomach Carcinogenesis
MEST		ESTROGEN_RESPONSE_LATE EPITHELIAL_MESENCHYMAL_TRANSITION	Adenocarcinoma_of_lung_(disorder) Male_infertility Diabetes_Mellitus Benign_mixed_epithelial_and_stromal_tumor_of_kidney Breast_Carcinoma Malignant_neoplasm_of_ovary Invasive_carcinoma_of_breast Malignant_tumor_of_colon Obesity,_Morbid Oligospermia Colon_Carcinoma Obesity Adenocarcinoma Russell-Silver_syndrome Ovarian_Carcinoma Liver_carcinoma
CLIC1			Neoplasm_Metastasis Tumor_thrombus Secondary_malignant_neoplasm_of_lymph_node Cholelithiasis Gallbladder_Carcinoma Liver_carcinoma Glioma Malignant_tumor_of_colon Sarcoma Gastric_Adenocarcinoma Malignant_neoplasm_of_gallbladder Benign_Ovarian_Neoplasm Choriocarcinoma Colon_Carcinoma Epithelial_ovarian_cancer Malignant_neoplasm_of_stomach Neoplasms Stomach_Carcinoma
